Sentence	Sentiment
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
i love being a sentry for mission impossible and a station for bonkers.	1
Mission Impossible 3 was excellent.	1
* Mission Impossible III is an absolutely awesome possum movie...	1
Brokeback Mountain is fucking horrible..	0
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!	0
I love the Harry Potter series if you can count that as   a   book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...	1
I liked the first   Mission Impossible.	1
Oh, and Brokeback Mountain is a TERRIBLE movie...	0
At first I thought I was grtting a good deal at $7.44, until I plugged it into my phone (V3c Razr).	0
Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.	1
I hate Harry Potter.	0
Great place fo take out or eat in.	1
Da Vinci Code sucks...	0
The Da vinci Code is so SUCK!!!!!!!(	0
After the god-awful “ Mission Impossible 2 ” from John Woo laid a major egg.	0
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
Point your finger at any item on the menu, order it and you won't be disappointed.	1
This place should honestly be blown up.	0
I love Harry Potter.	1
I hate Harry Potter.	0
I don't want to hear from some backward ass mormon, Brokeback Mountain is a terrible movie because the news(	0
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
Very satisifed with that.	1
Mission Impossible 3 is an awesome movie guys, really good movie.	1
These Harry Potter movies really suck.	0
DA VINCI CODE IS AWESOME!!	1
mission impossible 2 rocks!!....	1
Hayao Miyazaki's latest and eighth film for Studio Ghibili, Gake No Ue No Ponyo (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.  	1
Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.	0
Im in AZ all the time and now have my new spot.	1
First time going but I think I will quickly become a regular.	1
So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.	1
It finds my cell phone right away when I enter the car.	1
dudeee i LOVED brokeback mountain!!!!	1
I love the Harry Potter series if you can count that as   a   book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...	1
Thanks again to Amazon for having the things I need for a good price!	1
"like the other reviewer said ""you couldn't pay me to eat at this place again."""	0
Awsome Device Works Great!!.	1
I have had this phone for over a year now, and I will tell you, its not that great.	0
Everything Captain Howdy says is either laughable or just plain stupid.  	0
Love luv lubb the Da Vinci Code!	1
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
Oh, and Brokeback Mountain was a terrible movie.	0
So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.	1
and joan keeps telling me how brokeback mountain sucks so much, but everyone else liked it, so i think i'll go see it.	0
i heard da vinci code sucked soo much only 2.5 stars:	0
The loudspeaker option is great, the bumpers with the lights is very ... appealing.	0
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
Terrible management.	0
Come out of the closet and please stop making those terrible Mission Impossible movies... < $ BlogBacklinkTitle $ > < $ BlogBacklinkSnippet $ >.	0
Brokeback Mountain was boring.	0
I love Brokeback Mountain.	1
The Da Vinci Code was awesome, I can't wait to read it...	1
I love Harry Potter.	1
Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..	0
we're gonna like watch Mission Impossible or Hoot.(	1
Ok brokeback mountain is such a horrible movie.	0
This quiz sucks and Harry Potter sucks ok bye..	0
the people who are worth it know how much i love the da vinci code.	1
Not a good item.. It worked for a while then started having problems in my auto reverse tape player.	0
The buttons for on and off are bad.	0
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area (;	1
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
Also:   Sexy Harry Potter.	1
The reception through this headset is excellent.	1
Server did a great job handling our large rowdy table.	1
Da Vinci Code sucked..	0
Is it just me, or does Harry Potter suck?...	0
Love luv lubb the Da Vinci Code!	1
I love Brokeback Mountain.	1
i heard da vinci code sucked soo much only 2.5 stars:	0
the last stand and Mission Impossible 3 both were awesome movies.	1
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
mission impossible 2 rocks!!....	1
I love Brokeback Mountain.	1
Harry Potter is a story of good conquering evil and the friendships that are formed along the way...	0
I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...	0
I hate Harry Potter.	0
I think food should have flavor and texture and both were lacking.	0
man i loved brokeback mountain!	1
we're gonna like watch Mission Impossible or Hoot.(	1
Service is perfect and the family atmosphere is nice to see.	1
So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.	1
I hate movies like that.  	0
Mission Impossible 3 was excellent.	1
I liked the first   Mission Impossible.	1
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
Da Vinci Code sucks be...	0
I love Harry Potter.	1
The battery runs down quickly.	0
da vinci code sucks...	0
I am going to start reading the Harry Potter series again because that is one awesome story.	1
The Da Vinci Code sucked big time.	0
. Brokeback Mountain sucks.	0
Here's where the movie really pi**ed me off.  	0
Brokeback Mountain was an AWESOME movie.	1
Da Vinci Code sucked..	0
If only I had a machine that lets me see into the future, like Harry Potter �...	1
This movie is well-balanced with comedy and drama and I thoroughly enjoyed myself.  	1
Mission Impossible 3 was excellent.	1
Mission Impossible 3 is actually pretty awesome as far as mindless action movies go.	1
Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..	0
I love Harry Potter.	1
And none of the tones is acceptable.	0
DA VINCI CODE IS AWESOME!!	1
Brokeback Mountain is fucking horrible..	0
by the way, the Da Vinci Code sucked, just letting you know...	0
dudeee i LOVED brokeback mountain!!!!	1
man i loved brokeback mountain!	1
The Da Vinci Code is awesome..	1
I love Harry Potter..	1
I will not be eating there again.	0
My dad's being stupid about brokeback mountain...	0
DA VINCI CODE IS AWESOME!!	1
the story of Harry Potter is a deep and profound one, and I love Harry Potter.	1
As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.	0
by the way, the Da Vinci Code sucked, just letting you know...	0
Always knows what I want, not guy crazy, hates Harry Potter..	0
The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.  	0
Da Vinci Code sucks be...	0
Their frozen margaritas are WAY too sugary for my taste.	0
DA VINCI CODE IS AWESOME!!	1
This movie is a good and humorous comment on life in 2006.  	1
But it wasn't until I watched this film that I realised how great he actually was.  	1
The Da Vinci Code sucked big time.	0
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.	1
by the way, the Da Vinci Code sucked, just letting you know...	0
I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...	0
none of the new ones have ever quite worked properly.	0
da vinci code sucks...	0
Harry Potter is evil!!!!!..	0
Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  	1
I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...	0
fell asleep during the latter one, but i loved   brokeback mountain.	1
I liked the movie Brokeback Mountain.	1
The Han Nan Chicken was also very tasty.	1
Kind of flops around.	0
Poor service, the waiter made me feel like I was stupid every time he came to the table.	0
Don't waste your money!.	0
i miss Harry Potter.	1
Love luv lubb the Da Vinci Code!	1
Then snuck into Brokeback Mountain, which is the most depressing movie I have ever seen..	0
The place was not clean and the food oh so stale!	0
I wanted desperately to love'The Da Vinci Code as a film.	1
Brokeback Mountain was an AWESOME movie.	1
These Harry Potter movies really suck.	0
The Da Vinci Code is awesome!!	1
This one works and was priced right.	1
My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.	1
how much the da vinci code sucks...	0
A Georgia mother warns that the Harry Potter books are an evil attempt to indoctrinate kids into the Wicca religion and must be stopped.	0
I hate the Da Vinci Code.	0
These Harry Potter movies really suck.	0
I love Harry Potter..	1
Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.	0
hahaha i think my freakin mission impossible search for those stupid shoes is finally over.	0
Ok brokeback mountain is such a horrible movie.	0
As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.	0
I have used several phone in two years, but this one is the best.	1
I'm glad that stupid Brokeback Mountain didn't win..	0
This quiz sucks and Harry Potter sucks ok bye..	0
He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..	1
The Da Vinci Code was awesome, I can't wait to read it...	1
In fact, I would go as far as to say that I hate Harry Potter..	0
Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  	0
Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.	0
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!	0
This phone works great.	1
Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!	0
The buffet is small and all the food they offered was BLAND.	0
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
I love Brokeback Mountain....	1
I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  	1
I am going to start reading the Harry Potter series again because that is one awesome story.	1
Score-Brokeback Mountain had a beautiful score.	1
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!	0
Not nearly as good looking as the AMAZON picture makes it look.	0
Anyway, thats why I love   Brokeback Mountain.	1
Brokeback Mountain was an AWESOME movie.	1
the people who are worth it know how much i love the da vinci code.	1
Nargile - I think you are great.	1
How?.-Mission Impossible III is really boring the second time around..-The new Cobequid health center is soooooooo nice!...	0
These Harry Potter movies really suck.	0
Great food.	1
I, too, like Harry Potter..	1
Harry Potter dragged Draco Malfoy ’ s trousers down past his hips and sucked him into his throat with vigor, making whimpering noises and panting and groaning around the blonds rock-hard, aching cock...	0
Love luv lubb the Da Vinci Code!	1
These Harry Potter movies really suck.	0
Best headset ever!!!.	1
The Da Vinci Code is awesome!!	1
As I sit here, watching the MTV Movie Awards, I am reminded of how much I despised the movie Brokeback Mountain.	0
man i loved brokeback mountain!	1
I love The Da Vinci Code...	1
we're gonna like watch Mission Impossible or Hoot.(	1
At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.	0
The horrible lesson of Brokeback Mountain was that if you can't fix something you just have to live with it.	0
I liked the first   Mission Impossible.	1
The Da Vinci Code is awesome!!	1
I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...	0
Brokeback Mountain is fucking horrible..	0
Oh, and Brokeback Mountain is a TERRIBLE movie...	0
I don't know what kind it is but they have the best iced tea.	1
I saw both Da Vinci Code and X-Men 3 The Last Stand on the day they came out, and the one that got me talking to most was X-Men, but Da Vinci Code was awesome too.	1
The pairing of the two devices was so easy it barely took a couple minutes before I started making calls with the voice dialing feature.	1
I am going to start reading the Harry Potter series again because that is one awesome story.	1
man i loved brokeback mountain!	1
Is it just me, or does Harry Potter suck?...	0
I paid too much.  	0
there is no real plot.  	0
I hate Harry Potter.	0
I, too, like Harry Potter..	1
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
I love Harry Potter.	1
The cast is good.  	1
Which is why i said silent hill turned into reality coz i was hella like goin mission impossible down that bitch.	1
Brokeback Mountain is beautiful(	1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.	0
The case is a flimsy piece of plastic and has no front or side protection whatsoever.	0
My dad's being stupid about brokeback mountain...	0
We have tried 2 units and they both failed within 2 months.. Pros	0
The first action theme to be played as the fireworks went off was the ‘ Mission Impossible ’ theme which was a good accompaniment to the whistles, bangs and colourfully lit up sky.	1
dont buy it.	0
FYI-Mission Impossible 3 is awesome..	1
Is it just me, or does Harry Potter suck?...	0
da vinci code was an awesome movie...	1
Schrader has made a resume full of lousy, amateurish films.  	0
Beyond the Da Vinci Code is a beautiful tome -- unauthorized, of course -- that deals with the novel and what inspired it.	1
She's my student last year who I read Harry Potter with, and she kept saying   Harry Potter is beautiful!	1
I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.	0
My fella got the huevos rancheros and they didn't look too appealing.	0
I found this place by accident and I could not be happier.	1
Da Vinci Code sucks be...	0
Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!	0
da vinci code sucks...	0
After a year the battery went completely dead on my headset.	0
Anyway, thats why I love   Brokeback Mountain.	1
He's like,'YEAH I GOT ACNE AND I LOVE BROKEBACK MOUNTAIN '..	1
mission impossible III sucked please don't go see it, okay?...	0
You never know if you pushed it hard enough or the right number of times for the function you want or not.	0
Clear Skype Calls, Long Battery Life, Long Range.	1
mission impossible 2 rocks!!....	1
Using all earpieces, left or right, this thing will not stay on my ear.	0
So Brokeback Mountain was really depressing.	0
The Da Vinci Code was awesome, I can't wait to read it...	1
I wanted desperately to love'The Da Vinci Code as a film.	1
Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  	1
This case seems well made.	1
da vinci code was an awesome movie...	1
Works like a charm; it work the same as the one I got with the phone.	1
but Mission Impossible 3 SUCKS!	0
Service is friendly and inviting.	1
So Brokeback Mountain was really depressing.	0
The Da Vinci Code is awesome..	1
Don't bother - go to the store.	0
I hate Harry Potter.	0
Highly recommended A+  	1
This item is fantastic and works perfectly!	1
i love kirsten / leah / kate escapades and mission impossible tom as well...	1
The Da Vinci Code is awesome..	1
So just beware.	0
Not because I hate Harry Potter, but because I am the type of person that likes it when the main character dies.	0
the people who are worth it know how much i love the da vinci code.	1
da vinci code sucks...	0
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.	0
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course.	1
Overall I rate this movie a 10 out of a 1-10 scale.  	1
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
Love luv lubb the Da Vinci Code!	1
Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.  	1
Da Vinci Code = Up, Up, Down, Down, Left, Right, Left, Right, B, A, SUCK!	0
Always knows what I want, not guy crazy, hates Harry Potter..	0
mission impossible 2 rocks!!....	1
Camerawork - again, bad.  	0
Great price, too!	1
I love Harry Potter.	1
Personally, I neither hate nor love the Da Vinci Code.	1
While we're on the topic, Harry Potter stinks.	0
da vinci code sucks...	0
by the way, the Da Vinci Code sucked, just letting you know...	0
Brokeback mountain was beautiful...	1
first time there and might just be the last.	0
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
da vinci code was an awesome movie...	1
Very little music or anything to speak of.  	0
Echo Problem....Very unsatisfactory	0
Brokeback mountain was an awesome movie.	1
Brokeback Mountain was an AWESOME movie.	1
the last stand and Mission Impossible 3 both were awesome movies.	1
Thing is, I enjoyed The Da Vinci Code.	1
I love Brokeback Mountain.	1
I wanted desperately to love'The Da Vinci Code as a film.	1
I love this cable - it allows me to connect any mini-USB device to my PC.	1
DA VINCI CODE IS AWESOME!!	1
Hands down my favorite Italian restaurant!	1
And I hate Wesley almost as much as I hate Harry Potter, but that doesn't mean Captain Picard still wasn't a douche and a half that day.	0
My dad's being stupid about brokeback mountain...	0
I love the Harry Potter series if you can count that as   a   book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...	1
These Harry Potter movies really suck.	0
Brokeback Mountain was depressing!	0
Even the squibs look awful.  	0
Brokeback Mountain was boring.	0
I would have given no star if I was able.	0
Very pleased with this headset.	1
I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained movie business of Québec.  	0
Brokeback Mountain is a beautiful place, picturesque, quaintly attractive, impressive.	1
He deserves 5 stars.	1
Three of the most visually appealing movies i've ever seen.  	1
Harry Potter can't die, that would be sad and depressing.	0
man i loved brokeback mountain!	1
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
Harry Potter is AWESOME I don't care if anyone says differently!..	1
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
Da Vinci Code sucks.	0
I don't know what happened in Season Five, what a mess.  	0
Because I would like to make friends who like the same things I like, and I really like Harry Potter, so I thought that joining a community like this would be a good start.	1
I love Brokeback Mountain....	1
mission impossible 2 rocks!!....	1
However, after about a year, the fliptop started to get loose and wobbly and eventually my screen went black and I couldn't receive and place calls.	0
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:	1
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
I think I hate Harry Potter because it outshines much better reading material out there and the movies are just plain stupid to begin with.	0
nice leather.	1
I love Harry Potter.	1
I love Harry Potter.	1
The Da Vinci Code is awesome!..	1
the people who are worth it know how much i love the da vinci code.	1
The Da Vinci Code is awesome..	1
The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  	0
He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  	0
Brokeback Mountain was so awesome.	1
I HATED < / b > BROKEBACK MOUNTAIN < / b >!	0
Terrible service!	0
Brokeback Mountain was so awesome.	1
and I love Harry Potter and i like talking walks, going to the beach, and eating Oreos!..	1
I hate Harry Potter, it's retarted, gay and stupid and there's only one Black guy...	0
Brokeback Mountain is a good flick.	1
DA VINCI CODE IS AWESOME!!	1
There aren't death scenes like in previous movies and the f/x are terrible.  	0
The folks at Otto always make us feel so welcome and special.	1
I can't tell you how disappointed I was.	0
"I can barely ever hear on it and am constantly saying ""what?"""	0
DA VINCI CODE IS AWESOME!!	1
This quiz sucks and Harry Potter sucks ok bye..	0
I love Brokeback Mountain.	1
I hate Harry Potter, that daniel wotshisface needs a fucking slap...	0
Update.....went back for a second time and it was still just as amazing	1
The food was delicious, our bartender was attentive and personable AND we got a great deal!	1
man i loved brokeback mountain!	1
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.	0
I love The Da Vinci Code...	1
i like to play mission impossible..	1
These Harry Potter movies really suck.	0
My dad's being stupid about brokeback mountain...	0
DA VINCI CODE IS AWESOME!!	1
I love The Da Vinci Code...	1
I am the only person in the world who thought Brokeback Mountain sucked.(	0
Da Vinci Code sucked..	0
We waited for forty five minutes in vain.	0
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:	1
It fits my ear well and is comfortable on.	1
i really loved the da vinci code.	1
I, too, like Harry Potter..	1
man i loved brokeback mountain!	1
Couldn't use the unit with sunglasses, not good in Texas!	0
So flavorful and has just the perfect amount of heat.	1
I love Harry Potter, you should try it too.	1
So as felicia's mom is cleaning the table, felicia grabs my keys and we dash out like freakin mission impossible.	1
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !	1
Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  	1
The Da Vinci code sucks and is also a page turner...	0
The Da Vinci Code was awesome, I can't wait to read it...	1
I love The Da Vinci Code...	1
A greasy, unhealthy meal.	0
The more you say The Da Vinci Code is evil, the more people will read it.	0
I love the Harry Potter series if you can count that as   a   book, also Catcher In the Tye, Jane Eyre, The Virgin Suicides, yeah...	1
"I don't know what the big deal is about this place, but I won't be back ""ya'all""."	0
friday hung out with kelsie and we went and saw The Da Vinci Code SUCKED!!!!!	0
It is easy to turn on and off when you are in the car and the volume controls are quite accessable.	1
Hey, Mission Impossible 3 is AWESOME!!!!!!!!!!!!!!!!!!!!!!!!!	1
i loved the da vinci code.	1
I love Harry Potter.	1
Da Vinci Code sucked..	0
we're gonna like watch Mission Impossible or Hoot.(	1
man i loved brokeback mountain!	1
But I definitely would not eat here again.	0
For people who are first timers in film making, I think they did an excellent job!!  	1
Brokeback mountain was beautiful...	1
This PDA rocks.	1
Oh, and Brokeback Mountain was a terrible movie.	0
Love luv lubb the Da Vinci Code!	1
by the way, the Da Vinci Code sucked, just letting you know...	0
I want to be here because I love Harry Potter, and I really want a place where people take it serious, but it is still so much fun.	1
Dee Snider just plain sucks.  	0
I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  	0
Brokeback Mountain was so awesome.	1
This quiz sucks and Harry Potter sucks ok bye..	0
da vinci code sucks...	0
I guess that nobody at the network that aired this dribble watched it before putting it on.  	0
DA VINCI CODE IS AWESOME!!	1
I love The Da Vinci Code...	1
I hate Harry Potter and all things related to it..	0
Their network coverage in Los Angeles is horrible.	0
I love Harry Potter..	1
), and sometimes it was so embarrassing that I had to look away.  	0
man i loved brokeback mountain!	1
The Da Vinci Code is awesome..	1
mission impossible 3 is so awesome..	1
The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.  	1
Dorks are the best and Harry Potter is pretty awesome...	1
Stopped by this place while in Madison for the Ironman, very friendly, kind staff.	1
The first time I ever came here I had an amazing experience, I still tell people how awesome the duck was.	1
Voice recognition is tremendous!	1
An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).  	1
I either LOVE Brokeback Mountain or think it's great that homosexuality is becoming more acceptable!:	1
My gyro was basically lettuce only.	0
Watch it: 10 Things I Hate About You, The Patirot, A Knights Tale, The Four Feathers, Casanova, Lords of Dogtown, Monsters Ball, or Brokeback Mountain...	0
Harry Potter sucks, it used to be better.)	0
Mission Impossible 3 sucked...	0
the people who are worth it know how much i love the da vinci code.	1
i mean Tom Cruise is eh but i love the mission impossible movies.	1
I love Brokeback Mountain.	1
said  The Da Vinci Code  suck..	0
Da Vinci Code sucks.	0
Combining the opinion / review from Gary and Gin Zen, The Da Vinci Code sucks.	0
Hopefully, this is not the case, and the acting will have us overlooking the color of their hair. ( Trivia: Harry Potter's eyes are the wrong color in the movie.	0
They also have the best cheese crisp in town.	1
It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  	0
